c_e,gdp_ce
Ala,107075.7198
Ari,109595.2851
Cal,1087683.31
Flo,387908.5581
Geo,220481.9603
Ida,28896.9499
Ill,402961.4449
Ind,167283.3967
Ken,103098.3415
Lou,122115.7056
Mai,32349.2575
Mry,160683.2451
Mas,224530.2941
Mic,280399.3647
Min,147893.1937
MO,152620.1201
Mon,20751.2585
NHm,35033.9556
NJr,314637.3286
Nyr,698089.8813
Nca,217446.355
Nda,16415.2324
Ohi,331030.6293
Pen,365218.2793
Ten,150500.4858
Tex,584397.2386
Ver,16733.8871
Vir,219280.8772
Was,175973.5103
Wis,151781.5551
AB,72603.944
BC,81166.08
MN,21569.144
NB,12209.005
Nfld,8240.873
NS,15994.83
ON,250680.944
PEI,2106.726
Que,138197.312
SK,19787.756
